t,x
22546,884.79
22560,883.09
22575,879.82
22589,882.61
22604,882.21
22619,880.16
22633,878.62
22647,882.71
22662,883.04
22677,881.03
22691,883.27
22706,880.95
22720,879.21
22735,873.41
22750,878.31
22764,876.73
22778,877.80
22793,878.35
22808,892.01
22822,899.01
22837,902.01
22851,908.50
22865,909.88
22881,914.16
22895,912.62
22909,918.71
22924,918.29
22939,918.71
22953,918.79
22968,922.84
22982,919.88
22996,917.66
23012,921.49
23026,920.62
23041,920.22
23055,915.41
23070,919.06
23085,918.79
23099,920.35
23113,918.76
23128,911.07
23143,900.80
23157,891.85
23172,886.89
23186,885.17
23201,884.87
23216,879.41
23230,881.05
23244,878.29
23259,878.72
23274,877.29
23288,879.72
23303,879.79
23317,877.84
23331,877.63
23347,877.22
23361,876.17
23375,873.63
23390,877.72
23405,876.04
23419,877.03
23434,877.27
23448,890.70
23462,899.03
23478,901.27
23492,907.45
23506,911.09
23521,912.32
23536,912.24
23550,915.68
23565,915.76
23579,916.57
23593,917.93
23609,919.95
23623,917.71
23638,916.28
23652,917.71
23667,919.78
23682,921.34
23696,919.75
23710,923.56
23725,923.17
23740,920.88
23754,919.41
23769,911.06
23783,902.54
23797,892.41
23813,889.31
23827,885.23
23841,885.42
23856,880.57
23871,882.67
23885,880.76
23900,877.57
23914,876.68
23928,879.76
23944,878.07
23958,873.80
23972,877.10
23987,876.08
24002,874.06
24016,870.04
24031,875.03
24045,877.27
24059,877.46
24075,876.84
24089,878.88
24103,888.66
24118,893.75
24133,901.31
24147,901.73
24162,908.05
24176,906.54
24190,913.65
24206,914.24
24220,917.43
24235,917.57
24249,916.43
24263,917.57
24279,915.18
24293,918.13
24307,916.85
24322,916.39
24337,916.54
24351,918.91
24366,918.18
24380,917.88
24394,917.91
24410,909.94
24424,901.70
24438,893.78
24453,891.83
24468,888.37
24482,888.78
24497,884.59
24511,885.94
24525,883.95
24541,881.22
24555,878.16
24569,880.62
24584,878.22
24599,874.16
24613,877.62
24628,877.97
24642,875.22
24656,871.92
24672,878.69
24686,878.27
24700,877.95
24715,876.96
24729,889.72
24744,895.29
24759,897.72
24773,906.04
24787,909.53
24803,910.90
24817,910.92
24832,915.69
24846,917.77
24860,917.58
24876,916.93
24890,918.45
24904,919.09
24919,916.32
24934,920.74
24948,920.80
24963,920.35
24977,919.01
24991,920.76
25007,920.57
25021,919.43
25035,919.07
25050,911.05
25065,901.79
25079,892.09
25094,890.82
25108,887.11
25122,885.59
25138,882.19
25152,883.14
25166,881.11
25181,879.08
25195,876.31
25210,877.98
25225,876.74
25239,874.30
25253,877.98
25269,878.73
25283,878.55
25297,877.66
25312,881.75
25326,879.56
25341,879.17
25356,878.88
25370,890.16
25384,895.62
25400,897.71
25414,906.04
25428,909.78
25443,912.58
25457,912.44
25473,919.08
25487,920.81
25501,919.36
25516,918.77
25531,919.83
25545,921.62
25560,916.71
25574,921.04
25588,922.03
25604,921.52
25618,919.39
25632,924.29
25647,921.47
25661,919.10
25676,919.58
25691,909.18
25705,900.39
25719,891.79
25735,889.59
25749,885.19
25763,882.15
25778,879.11
25792,882.58
25807,879.94
25822,876.45
25836,874.84
25850,878.13
25866,878.10
25880,875.07
25894,878.30
25909,876.23
25923,875.67
25938,873.75
25953,880.32
25967,881.49
25981,879.11
25997,878.09
26011,877.06
26025,887.30
26040,893.97
26054,902.98
26070,904.99
26084,907.24
26098,909.18
26113,915.38
26127,916.29
26142,915.72
26157,916.04
26171,916.03
26185,917.27
26201,916.45
26215,921.59
26229,919.19
26244,917.89
26258,918.42
26273,921.82
26288,921.11
26302,918.83
26316,918.13
26332,910.34
26346,901.51
26360,893.38
26375,892.29
26389,886.96
26404,885.72
26419,882.29
26433,882.47
26447,879.85
26463,876.64
26477,875.98
26491,878.48
26506,876.61
26520,874.71
26535,880.03
26550,877.52
26564,877.14
26578,874.61
26593,880.21
26608,879.65
26622,877.99
26637,879.24
26651,890.18
26667,897.64
26681,899.48
26695,909.36
26710,911.52
26724,915.39
26739,914.29
26754,918.47
26768,916.85
26782,916.14
26798,915.10
26812,915.08
26826,915.31
26841,914.98
26855,917.49
26870,916.36
26885,917.02
26899,915.02
26913,918.01
26929,917.26
26943,916.69
26957,917.52
26972,907.39
26986,898.54
27001,888.66
27016,887.74
27030,884.56
27044,882.92
27059,879.19
27074,879.89
27088,878.17
27103,875.88
27117,874.41
27132,878.06
27147,876.29
27161,872.22
27175,876.66
27190,875.00
27205,873.75
27219,874.31
27234,877.48
27248,879.11
27264,877.58
27278,875.94
27292,888.70
27307,895.53
27321,898.40
27336,908.05
27351,909.54
27365,911.15
27379,910.86
27395,915.65
27409,915.49
27423,914.11
27438,916.84
27452,915.88
27467,916.16
27482,914.37
27496,918.53
27510,918.89
27525,917.67
27540,916.25
27554,919.69
27569,920.52
27583,918.39
27598,918.79
27613,907.09
27627,900.32
27641,890.74
27656,889.80
27671,885.60
27685,885.20
27700,884.40
27714,885.80
27729,882.35
27744,879.51
27758,878.89
27772,878.66
27787,878.50
27802,875.37
27816,878.78
27831,875.59
27845,874.19
27860,873.14
27875,877.86
27889,879.14
27904,877.61
27918,879.20
27933,876.65
27948,885.99
27962,890.24
27976,899.68
27991,903.01
28006,906.76
28020,907.32
28035,912.99
28049,912.49
28064,913.37
28079,914.28
28093,913.96
28107,913.72
28122,911.79
28137,917.59
28151,916.19
28166,916.65
28180,916.23
28195,921.43
28210,919.57
28224,918.43
28238,918.07
28253,908.05
28268,900.29
28282,889.97
28297,889.48
